日期,最高温,最低温,天气,风力风向,日照时长,date,max_temp(℃),min_temp(℃),avg_temp(℃),sunshine_h(h),date_only
2016-08-01 周一,31.8℃,27.2℃,晴,东南风3级,12.0小时,2016-08-01,31.8,27.2,29.5,12.0,2016-08-01
2016-08-02 周二,32.3℃,27.9℃,毛毛雨,东南风3级,10.5小时,2016-08-02,32.3,27.9,30.1,10.5,2016-08-02
2016-08-03 周三,28.7℃,26.1℃,中雨,西南风3级,0.4小时,2016-08-03,28.7,26.1,27.4,0.4,2016-08-03
2016-08-04 周四,31.5℃,25.2℃,中雨,北风2级,10.0小时,2016-08-04,31.5,25.2,28.4,10.0,2016-08-04
2016-08-05 周五,30.9℃,26℃,毛毛雨,北风2级,7.5小时,2016-08-05,30.9,26.0,28.4,7.5,2016-08-05
2016-08-06 周六,30.8℃,26.6℃,毛毛雨,东南风3级,12.0小时,2016-08-06,30.8,26.6,28.7,12.0,2016-08-06
2016-08-07 周日,31.2℃,26.5℃,晴,东南风3级,12.0小时,2016-08-07,31.2,26.5,28.8,12.0,2016-08-07
2016-08-08 周一,30.9℃,26.7℃,晴,东风3级,12.0小时,2016-08-08,30.9,26.7,28.8,12.0,2016-08-08
2016-08-09 周二,30.4℃,27℃,毛毛雨,东风4级,9.3小时,2016-08-09,30.4,27.0,28.7,9.3,2016-08-09
2016-08-10 周三,31.1℃,26.7℃,毛毛雨,东南风4级,11.2小时,2016-08-10,31.1,26.7,28.9,11.2,2016-08-10
2016-08-11 周四,31.3℃,27.3℃,晴,东风3级,12.0小时,2016-08-11,31.3,27.3,29.3,12.0,2016-08-11
2016-08-12 周五,31.7℃,27.5℃,晴,东南风3级,11.8小时,2016-08-12,31.7,27.5,29.6,11.8,2016-08-12
2016-08-13 周六,31.9℃,27.4℃,晴,东南风3级,12.0小时,2016-08-13,31.9,27.4,29.6,12.0,2016-08-13
2016-08-14 周日,32.1℃,27.2℃,晴,东南风3级,12.0小时,2016-08-14,32.1,27.2,29.6,12.0,2016-08-14
2016-08-15 周一,32.3℃,26.6℃,多云,东南风3级,11.9小时,2016-08-15,32.3,26.6,29.4,11.9,2016-08-15
2016-08-16 周二,31.8℃,26.6℃,晴,东风3级,12.0小时,2016-08-16,31.8,26.6,29.2,12.0,2016-08-16
2016-08-17 周三,32℃,26.6℃,晴,东风3级,12.0小时,2016-08-17,32.0,26.6,29.3,12.0,2016-08-17
2016-08-18 周四,32.2℃,27.2℃,晴,东南风3级,12.0小时,2016-08-18,32.2,27.2,29.7,12.0,2016-08-18
2016-08-19 周五,33.3℃,28.2℃,晴,东南风3级,12.0小时,2016-08-19,33.3,28.2,30.8,12.0,2016-08-19
2016-08-20 周六,33.8℃,28.1℃,晴,东南风3级,11.9小时,2016-08-20,33.8,28.1,31.0,11.9,2016-08-20
2016-08-21 周日,32.7℃,27.4℃,晴,东风3级,12.0小时,2016-08-21,32.7,27.4,30.0,12.0,2016-08-21
2016-08-22 周一,32.8℃,27.3℃,晴,东北风3级,12.0小时,2016-08-22,32.8,27.3,30.0,12.0,2016-08-22
2016-08-23 周二,31.6℃,26.2℃,晴,东北风3级,11.9小时,2016-08-23,31.6,26.2,28.9,11.9,2016-08-23
2016-08-24 周三,31.6℃,24.2℃,晴,东北风3级,12.0小时,2016-08-24,31.6,24.2,27.9,12.0,2016-08-24
2016-08-25 周四,32.9℃,25.5℃,晴,东风3级,12.0小时,2016-08-25,32.9,25.5,29.2,12.0,2016-08-25
2016-08-26 周五,31.2℃,26.1℃,毛毛雨,北风4级,11.3小时,2016-08-26,31.2,26.1,28.6,11.3,2016-08-26
2016-08-27 周六,29.8℃,24.1℃,毛毛雨,西北风4级,8.8小时,2016-08-27,29.8,24.1,27.0,8.8,2016-08-27
2016-08-28 周日,29℃,21.7℃,晴,西北风4级,12.0小时,2016-08-28,29.0,21.7,25.4,12.0,2016-08-28
2016-08-29 周一,29.5℃,21℃,晴,西北风4级,12.0小时,2016-08-29,29.5,21.0,25.2,12.0,2016-08-29
2016-08-30 周二,29.4℃,20.5℃,晴,西北风4级,11.9小时,2016-08-30,29.4,20.5,25.0,11.9,2016-08-30
2016-08-31 周三,31.5℃,20℃,晴,西南风3级,11.9小时,2016-08-31,31.5,20.0,25.8,11.9,2016-08-31
